,year,quarter,book_score,studio_name
371,2021,Q1,0,AI/ML Studio
372,2021,Q2,0,AI/ML Studio
378,2021,Q3,0,AI/ML Studio
383,2021,Q4,0,AI/ML Studio
388,2022,Q1,0,AI/ML Studio
392,2019,Q1,0,Rust Studio
393,2019,Q2,0,Rust Studio
394,2019,Q3,0,Rust Studio
395,2019,Q4,0,Rust Studio
396,2020,Q1,0,Rust Studio
397,2020,Q2,100,Rust Studio
398,2020,Q3,0,Rust Studio
399,2020,Q4,0,Rust Studio
400,2021,Q1,0,Rust Studio
401,2021,Q2,0,Rust Studio
403,2021,Q3,0,Rust Studio
406,2021,Q4,0,Rust Studio
409,2022,Q1,0,Rust Studio
410,2016,Q2,0,Engineering Operations
411,2018,Q1,0,Engineering Operations
412,2019,Q1,0,Engineering Operations
413,2019,Q2,0,Engineering Operations
414,2019,Q3,0,Engineering Operations
415,2019,Q4,0,Engineering Operations
416,2020,Q1,0,Engineering Operations
417,2021,Q1,0,Engineering Operations
418,2022,Q1,0,Engineering Operations
419,2019,Q1,0,Frontend Studio
420,2019,Q2,0,Frontend Studio
421,2019,Q3,0,Frontend Studio
422,2019,Q4,0,Frontend Studio
423,2020,Q2,0,Frontend Studio
425,2020,Q3,0,Frontend Studio
427,2020,Q4,0,Frontend Studio
429,2021,Q2,0,Frontend Studio
434,2021,Q3,0,Frontend Studio
439,2021,Q4,0,Frontend Studio
444,2022,Q1,100,Frontend Studio
445,2020,Q2,0,Account Management
446,2022,Q1,200,Account Management
447,2021,Q2,0,Learning and Development
448,2021,Q3,0,Learning and Development
449,2021,Q4,0,Learning and Development
450,2021,Q2,0,Agile Studio
451,2021,Q3,0,Agile Studio
454,2021,Q4,0,Agile Studio
457,2022,Q1,0,Agile Studio
458,2022,Q1,100,Interns
