,year,quarter,conference_score,studio_name
370,2021,Q1,0,AI/ML Studio
371,2021,Q2,0,AI/ML Studio
377,2021,Q3,0,AI/ML Studio
382,2021,Q4,0,AI/ML Studio
387,2022,Q1,0,AI/ML Studio
391,2019,Q1,0,Rust Studio
392,2019,Q2,0,Rust Studio
393,2019,Q3,0,Rust Studio
394,2019,Q4,0,Rust Studio
395,2020,Q1,0,Rust Studio
396,2020,Q2,0,Rust Studio
397,2020,Q3,0,Rust Studio
398,2020,Q4,0,Rust Studio
399,2021,Q1,0,Rust Studio
400,2021,Q2,0,Rust Studio
402,2021,Q3,0,Rust Studio
405,2021,Q4,0,Rust Studio
408,2022,Q1,0,Rust Studio
409,2016,Q2,0,Engineering Operations
410,2018,Q1,0,Engineering Operations
411,2019,Q1,0,Engineering Operations
412,2019,Q2,0,Engineering Operations
413,2019,Q3,0,Engineering Operations
414,2019,Q4,0,Engineering Operations
415,2020,Q1,0,Engineering Operations
416,2021,Q1,0,Engineering Operations
417,2022,Q1,100,Engineering Operations
418,2019,Q1,0,Frontend Studio
419,2019,Q2,0,Frontend Studio
420,2019,Q3,0,Frontend Studio
421,2019,Q4,0,Frontend Studio
422,2020,Q2,0,Frontend Studio
424,2020,Q3,0,Frontend Studio
426,2020,Q4,0,Frontend Studio
428,2021,Q2,0,Frontend Studio
433,2021,Q3,0,Frontend Studio
438,2021,Q4,0,Frontend Studio
443,2022,Q1,200,Frontend Studio
444,2020,Q2,0,Account Management
445,2022,Q1,300,Account Management
447,2021,Q2,0,Learning and Development
448,2021,Q3,0,Learning and Development
449,2021,Q4,0,Learning and Development
450,2021,Q2,0,Agile Studio
451,2021,Q3,0,Agile Studio
454,2021,Q4,0,Agile Studio
457,2022,Q1,0,Agile Studio
458,2022,Q1,100,Interns
