,year,quarter,webinar_score,studio_name
304,2021,Q1,0,AI/ML Studio
305,2021,Q2,0,AI/ML Studio
311,2021,Q3,0,AI/ML Studio
316,2021,Q4,0,AI/ML Studio
321,2022,Q1,0,AI/ML Studio
325,2019,Q1,0,Rust Studio
326,2019,Q2,0,Rust Studio
327,2019,Q3,0,Rust Studio
328,2019,Q4,0,Rust Studio
329,2020,Q1,0,Rust Studio
330,2020,Q2,15,Rust Studio
331,2020,Q3,0,Rust Studio
332,2020,Q4,0,Rust Studio
333,2021,Q1,15,Rust Studio
334,2021,Q2,0,Rust Studio
336,2021,Q3,0,Rust Studio
339,2021,Q4,0,Rust Studio
342,2022,Q1,0,Rust Studio
343,2016,Q2,0,Engineering Operations
344,2018,Q1,0,Engineering Operations
345,2019,Q1,0,Engineering Operations
346,2019,Q2,0,Engineering Operations
347,2019,Q3,0,Engineering Operations
348,2019,Q4,0,Engineering Operations
349,2020,Q1,0,Engineering Operations
350,2021,Q1,15,Engineering Operations
351,2022,Q1,0,Engineering Operations
352,2019,Q1,0,Frontend Studio
353,2019,Q2,0,Frontend Studio
354,2019,Q3,0,Frontend Studio
355,2019,Q4,0,Frontend Studio
356,2020,Q2,0,Frontend Studio
358,2020,Q3,0,Frontend Studio
360,2020,Q4,0,Frontend Studio
362,2021,Q2,0,Frontend Studio
367,2021,Q3,15,Frontend Studio
368,2021,Q4,15,Frontend Studio
369,2022,Q1,0,Frontend Studio
374,2020,Q2,0,Account Management
375,2022,Q1,0,Account Management
379,2021,Q2,0,Learning and Development
380,2021,Q3,0,Learning and Development
381,2021,Q4,0,Learning and Development
382,2021,Q2,0,Agile Studio
383,2021,Q3,0,Agile Studio
386,2021,Q4,0,Agile Studio
389,2022,Q1,0,Agile Studio
390,2022,Q1,0,Interns
