,year,quarter,techhub_score,studio_name
239,2021,Q1,15,AI/ML Studio
240,2021,Q2,15,AI/ML Studio
241,2021,Q3,30,AI/ML Studio
242,2021,Q4,30,AI/ML Studio
243,2022,Q1,30,AI/ML Studio
244,2019,Q1,0,Rust Studio
245,2019,Q2,30,Rust Studio
246,2019,Q3,180,Rust Studio
247,2019,Q4,180,Rust Studio
248,2020,Q1,0,Rust Studio
249,2020,Q2,15,Rust Studio
250,2020,Q3,0,Rust Studio
251,2020,Q4,0,Rust Studio
252,2021,Q1,15,Rust Studio
253,2021,Q2,15,Rust Studio
255,2021,Q3,30,Rust Studio
257,2021,Q4,30,Rust Studio
259,2022,Q1,0,Rust Studio
260,2016,Q2,0,Engineering Operations
261,2018,Q1,0,Engineering Operations
262,2019,Q1,0,Engineering Operations
263,2019,Q2,0,Engineering Operations
264,2019,Q3,0,Engineering Operations
265,2019,Q4,0,Engineering Operations
266,2020,Q1,0,Engineering Operations
267,2021,Q1,0,Engineering Operations
268,2022,Q1,0,Engineering Operations
269,2019,Q1,0,Frontend Studio
270,2019,Q2,0,Frontend Studio
271,2019,Q3,0,Frontend Studio
272,2019,Q4,0,Frontend Studio
273,2020,Q2,30,Frontend Studio
274,2020,Q3,15,Frontend Studio
275,2020,Q4,15,Frontend Studio
276,2021,Q2,0,Frontend Studio
281,2021,Q3,150,Frontend Studio
282,2021,Q4,150,Frontend Studio
283,2022,Q1,60,Frontend Studio
284,2020,Q2,0,Account Management
285,2022,Q1,0,Account Management
289,2021,Q2,0,Learning and Development
290,2021,Q3,0,Learning and Development
291,2021,Q4,0,Learning and Development
292,2021,Q2,0,Agile Studio
293,2021,Q3,0,Agile Studio
296,2021,Q4,0,Agile Studio
299,2022,Q1,0,Agile Studio
300,2022,Q1,0,Interns
